         18571687 function calls (17837496 primitive calls) in 21.574 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.038    0.038   21.579   21.579 /workspaces/rddl_training_data_producer/simulator.py:51(produce_training_data)
       10    0.000    0.000   10.658    1.066 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Env/RDDLEnv.py:253(reset)
       10    0.007    0.001   10.656    1.066 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Visualizer/ChartViz.py:70(render)
     6000    0.055    0.000    5.551    0.001 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Env/RDDLEnv.py:197(step)
     6000    0.121    0.000    4.996    0.001 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Simulator/RDDLSimulator.py:314(step)
237906/42000    0.262    0.000    3.855    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Simulator/RDDLSimulator.py:354(_sample)
      540    0.010    0.000    3.807    0.007 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axis.py:1320(get_tightbbox)
       10    0.002    0.000    3.753    0.375 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Visualizer/ChartViz.py:58(convert2img)
       10    0.000    0.000    3.682    0.368 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/backends/backend_agg.py:381(draw)
       10    0.000    0.000    3.680    0.368 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:93(draw_wrapper)
  6160/10    0.016    0.000    3.680    0.368 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:54(draw_wrapper)
       10    0.000    0.000    3.680    0.368 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/figure.py:3134(draw)
    70/10    0.001    0.000    3.667    0.367 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/image.py:114(_draw_list_compositing_images)
       60    0.001    0.000    3.666    0.061 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:3005(draw)
       10    0.000    0.000    3.559    0.356 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/pyplot.py:2579(tight_layout)
       10    0.000    0.000    3.559    0.356 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/figure.py:3508(tight_layout)
       10    0.000    0.000    3.559    0.356 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/layout_engine.py:163(execute)
       10    0.000    0.000    3.518    0.352 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/_tight_layout.py:194(get_tight_layout_figure)
       10    0.003    0.000    3.498    0.350 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/_tight_layout.py:20(_auto_adjust_subplotpars)
   180/60    0.001    0.000    3.482    0.058 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/artist.py:1404(_get_tightbbox_for_layout_only)
       60    0.000    0.000    3.482    0.058 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/_api/deprecation.py:443(wrapper)
       60    0.004    0.000    3.482    0.058 /home/codespace/.local/lib/python3.10/site-packages/matplotlib/axes/_base.py:4338(get_tightbbox)
    36000    0.050    0.000    3.348    0.000 /home/codespace/.python/current/lib/python3.10/site-packages/pyRDDLGym/Core/Simulator/RDDLSimulator.py:672(_sample_control)
